Hardcoded English strings without .tr (excluding translation files and firebase_options.dart)
Total: 918

lib/main.dart:40 | in_en=no | Jovera Finance
lib/widgets/main_text.dart:48 | in_en=no | Poppins
lib/widgets/instructions_widget.dart:47 | in_en=yes | Important Notes:
lib/widgets/document_view_widget.dart:1 | in_en=no | dart:io
lib/widgets/date_picker_widget.dart:36 | in_en=no | Done
lib/widgets/date_picker_widget.dart:64 | in_en=no | January
lib/widgets/date_picker_widget.dart:67 | in_en=no | February
lib/widgets/date_picker_widget.dart:69 | in_en=no | March
lib/widgets/date_picker_widget.dart:71 | in_en=no | April
lib/widgets/date_picker_widget.dart:73 | in_en=no | May
lib/widgets/date_picker_widget.dart:75 | in_en=no | June
lib/widgets/date_picker_widget.dart:77 | in_en=no | July
lib/widgets/date_picker_widget.dart:79 | in_en=no | August
lib/widgets/date_picker_widget.dart:81 | in_en=no | September
lib/widgets/date_picker_widget.dart:83 | in_en=no | October
lib/widgets/date_picker_widget.dart:85 | in_en=no | November
lib/widgets/date_picker_widget.dart:87 | in_en=no | December
lib/widgets/drawer_card.dart:41 | in_en=no | en_US
lib/widgets/drawer_card.dart:41 | in_en=no | ar_SA
lib/widgets/app_loading_controller.dart:11 | in_en=no | start loaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaading
lib/widgets/app_loading_controller.dart:16 | in_en=no | stop loaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaading
lib/utilities/constants/app_validators.dart:6 | in_en=no | ^[a-zA-Z0-9.a-zA-Z0-9.!#$%&'*+-/=?^_`{|}~]+@[a-zA-Z0-9]+\.[a-zA-Z]+
lib/utilities/constants/app_validators.dart:62 | in_en=no | ^\d{1,10}$
lib/utilities/constants/app_tools.dart:1 | in_en=no | dart:convert
lib/utilities/constants/app_tools.dart:73 | in_en=no | message
lib/utilities/constants/app_tools.dart:75 | in_en=no | Something went wrong. Please check your connection
lib/utilities/constants/app_tools.dart:78 | in_en=no | message
lib/utilities/constants/app_tools.dart:80 | in_en=no | Something went wrong. Please try again later
lib/utilities/constants/app_tools.dart:83 | in_en=no | Something went wrong. Please check your connection
lib/utilities/api/api_abstract.dart:29 | in_en=no | $url$apiName
lib/utilities/api/api_abstract.dart:212 | in_en=no | Opps, Something went wrong
lib/utilities/api/api_abstract.dart:282 | in_en=no | fcmToken
lib/utilities/api/api_abstract.dart:283 | in_en=no | Authorization
lib/utilities/api/api_abstract.dart:283 | in_en=no | Bearer ${authManager.getToken()}
lib/utilities/api/api_abstract.dart:284 | in_en=no | accept
lib/utilities/api/api_abstract.dart:285 | in_en=no | Content-Type
lib/utilities/api/api_abstract.dart:285 | in_en=no | application/json
lib/utilities/api/api_abstract.dart:293 | in_en=no | fcmToken
lib/utilities/api/api_abstract.dart:294 | in_en=no | Authorization
lib/utilities/api/api_abstract.dart:294 | in_en=no | Bearer ${authManager.getToken()}
lib/utilities/api/api_abstract.dart:295 | in_en=no | Accept-Language
lib/utilities/api/api_abstract.dart:295 | in_en=no | ar
lib/utilities/api/api_abstract.dart:305 | in_en=no | fcmToken
lib/utilities/api/api_abstract.dart:306 | in_en=no | accept
lib/utilities/api/api_abstract.dart:307 | in_en=no | Content-Type
lib/utilities/api/api_abstract.dart:307 | in_en=no | application/json-patch+json
lib/utilities/api/api_abstract.dart:334 | in_en=no | accept
lib/utilities/api/api_abstract.dart:334 | in_en=no | Content-Type
lib/utilities/api/api_abstract.dart:334 | in_en=no | application/json
lib/utilities/api/api_service.dart:19 | in_en=no | $baseUrl/$apiName
lib/utilities/api/api_service.dart:27 | in_en=no | $baseUrl/api/auth/me
lib/utilities/api/api_service.dart:44 | in_en=no | Some thing went wrong. Please check your internet connection.
lib/utilities/api/api_service.dart:55 | in_en=no | accept
lib/utilities/api/api_service.dart:55 | in_en=no | Content-Type
lib/utilities/api/api_service.dart:55 | in_en=no | application/json
lib/utilities/api/api_service.dart:64 | in_en=no | accept
lib/utilities/api/api_service.dart:65 | in_en=no | Content-Type
lib/utilities/api/api_service.dart:65 | in_en=no | application/json
lib/utilities/api/api_service.dart:66 | in_en=no | Authorization
lib/utilities/api/api_service.dart:66 | in_en=no | Bearer $token
lib/utilities/api/api_service.dart:75 | in_en=no | accept
lib/utilities/api/api_service.dart:76 | in_en=no | Content-Type
lib/utilities/api/api_service.dart:76 | in_en=no | application/json
lib/utilities/api/api_service.dart:77 | in_en=no | Connection
lib/utilities/api/api_service.dart:77 | in_en=no | keep-alive
lib/utilities/authentication/auth_manager.dart:30 | in_en=no | first_time
lib/utilities/authentication/auth_manager.dart:39 | in_en=no | loggedOutSuccess
lib/utilities/services/translation_service.dart:11 | in_en=no | en_US
lib/utilities/services/translation_service.dart:11 | in_en=no | ar_SA
lib/utilities/services/translation_service.dart:12 | in_en=no | en
lib/utilities/services/translation_service.dart:12 | in_en=no | US
lib/utilities/services/translation_service.dart:15 | in_en=no | en_US
lib/utilities/services/translation_service.dart:16 | in_en=no | en
lib/utilities/services/translation_service.dart:16 | in_en=no | US
lib/utilities/services/translation_service.dart:17 | in_en=no | language
lib/utilities/services/translation_service.dart:17 | in_en=no | en_US
lib/utilities/services/translation_service.dart:18 | in_en=no | ar_SA
lib/utilities/services/translation_service.dart:19 | in_en=no | ar
lib/utilities/services/translation_service.dart:19 | in_en=no | SA
lib/utilities/services/translation_service.dart:20 | in_en=no | language
lib/utilities/services/translation_service.dart:20 | in_en=no | ar_SA
lib/utilities/services/translation_service.dart:25 | in_en=no | language
lib/utilities/services/translation_service.dart:26 | in_en=no | en_US
lib/utilities/services/translation_service.dart:27 | in_en=no | en
lib/utilities/services/translation_service.dart:27 | in_en=no | US
lib/utilities/services/translation_service.dart:28 | in_en=no | ar_SA
lib/utilities/services/translation_service.dart:29 | in_en=no | ar
lib/utilities/services/translation_service.dart:29 | in_en=no | SA
lib/utilities/services/notification_service.dart:95 | in_en=no | Notification
lib/utilities/services/notification_service.dart:96 | in_en=no | You have a new notification!
lib/utilities/services/notification_service.dart:120 | in_en=no | websocket
lib/utilities/services/notification_service.dart:122 | in_en=no | token
lib/utilities/services/notification_service.dart:129 | in_en=no | 🟢 Socket connected
lib/utilities/services/notification_service.dart:131 | in_en=no | identify
lib/utilities/services/notification_service.dart:131 | in_en=no | userId
lib/utilities/services/notification_service.dart:132 | in_en=no | 🟢 user identified
lib/utilities/services/notification_service.dart:134 | in_en=no | new_notification
